index,config,hidden_size,heads,kv_heads,layers,ffn_size,params,params_wo_embed
1,internlm2-chat-1K-h1-L1.json,32,1,1,1,256,5.94M,2.97M
2,internlm2-chat-10K-h1-L2.json,64,1,1,2,256,11.94M,6.02M
3,internlm2-chat-30K-h3-L2.json,96,3,1,2,512,17.99M,9.11M
4,internlm2-chat-100K-h2-L3.json,128,2,1,3,512,24.28M,12.44M
5,internlm2-chat-300K-h3-L4.json,192,3,1,4,768,37.31M,19.54M
6,internlm2-chat-1M-h4-L5.json,256,4,2,5,1024,51.31M,27.62M
7,internlm2-chat-3M-h5-L7.json,320,5,2,7,1280,67.83M,38.22M
8,internlm2-chat-10M-h6-L8.json,384,6,3,8,1536,85.23M,49.69M
9,internlm2-chat-30M-h8-L11.json,512,8,4,11,2048,129.37M,81.99M
10,internlm2-chat-80M-h12-L16.json,768,12,6,16,3072,255.39M,184.32M
11,internlm2-chat-240M-h16-L21.json,1024,16,8,21,4096,453.77M,359.01M
12,internlm2-chat-567M-h20-L26.json,1280,20,10,26,5120,748.09M,629.64M
13,internlm2-chat-992M-h22-L29.json,1408,22,11,29,5632,950.50M,820.20M
14,internlm2-chat-1386M-h32-L16.json,2048,32,16,16,8192,1184.37M,994.84M
